_id,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,LONG_WGS84,LAT_WGS84,geometry
11,GO-20141272882,THEFT UNDER,2013-07-01,2013,July,Monday,1,182,0,2014-01-03,2014,January,Friday,3,3,16,D32,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OPUS,URBANO SUSPENS,RG,10,PLE,600,STOLEN,-79.40378544337422,43.73114477600272,"{""coordinates"": [[-79.4037854429999, 43.7311447760001]], ""type"": ""MultiPoint""}"
12,GO-20149000137,THEFT UNDER,2014-01-03,2014,January,Friday,3,3,8,2014-01-04,2014,January,Saturday,4,4,18,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,HARDROCK,MT,18,GRY,560,STOLEN,-79.42337582487117,43.685931706570805,"{""coordinates"": [[-79.423375825, 43.6859317070001]], ""type"": ""MultiPoint""}"
13,GO-20141281947,THEFT UNDER,2014-01-04,2014,January,Saturday,4,4,18,2014-01-04,2014,January,Saturday,4,4,18,D51,"Apartment (Rooming House, Condo)",Apartment,MIELE,None,RG,21,BLU,200,STOLEN,-79.37965164971202,43.66378000288372,"{""coordinates"": [[-79.37965165, 43.6637800030001]], ""type"": ""MultiPoint""}"
14,GO-20141285125,THEFT UNDER,2013-12-23,2013,December,Monday,23,357,9,2014-01-05,2014,January,Sunday,5,5,9,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,E-BIKE,ELECTRIC,EL,23,GRN,1000,STOLEN,-79.37636045014965,43.658510497614266,"{""coordinates"": [[-79.3763604499999, 43.6585104980001]], ""type"": ""MultiPoint""}"
15,GO-20141287666,THEFT FROM MOTOR VEHICLE UNDER,2014-01-04,2014,January,Saturday,4,4,20,2014-01-05,2014,January,Sunday,5,5,18,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,IGUANA,MT,21,GRNMRN,900,STOLEN,-79.3630434047236,43.70586987474707,"{""coordinates"": [[-79.363043405, 43.7058698750001]], ""type"": ""MultiPoint""}"
16,GO-20141293197,B&E,2013-12-28,2013,December,Saturday,28,362,16,2014-01-06,2014,January,Monday,6,6,20,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GENESIS,None,MT,0,OTH,1500,STOLEN,-79.39756217890553,43.77930749862762,"{""coordinates"": [[-79.397562179, 43.779307499]], ""type"": ""MultiPoint""}"
17,GO-20141291713,PROPERTY - LOST,2014-01-05,2014,January,Sunday,5,5,21,2014-01-06,2014,January,Monday,6,6,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN MAKE,1700,SC,0,RED,,UNKNOWN,-79.43712596977969,43.718602358770674,"{""coordinates"": [[-79.43712597, 43.718602359]], ""type"": ""MultiPoint""}"
18,GO-20141298500,THEFT UNDER,2013-11-22,2013,November,Friday,22,326,8,2014-01-07,2014,January,Tuesday,7,7,13,D55,"Apartment (Rooming House, Condo)",Apartment,GIANT,RAPID,OT,3,YELRED,1300,STOLEN,-79.34058958431923,43.66227352160024,"{""coordinates"": [[-79.340589584, 43.6622735220001]], ""type"": ""MultiPoint""}"
19,GO-20141304072,B&E W'INTENT,2014-01-07,2014,January,Tuesday,7,7,8,2014-01-08,2014,January,Wednesday,8,8,11,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT,YUKON,MT,21,SILBLU,150,STOLEN,-79.33078239594094,43.66032543971217,"{""coordinates"": [[-79.330782396, 43.6603254400001]], ""type"": ""MultiPoint""}"
20,GO-20141305317,THEFT UNDER,2014-01-05,2014,January,Sunday,5,5,23,2014-01-08,2014,January,Wednesday,8,8,15,D51,Bar / Restaurant,Commercial,VELOTEQ,SHOGT,EL,23,BLK,1800,STOLEN,-79.37935794927299,43.661875500979264,"{""coordinates"": [[-79.3793579489999, 43.6618755010001]], ""type"": ""MultiPoint""}"
21,GO-20149000241,THEFT UNDER - BICYCLE,2014-01-08,2014,January,Wednesday,8,8,20,2014-01-08,2014,January,Wednesday,8,8,21,D51,"Apartment (Rooming House, Condo)",Apartment,OT,MILANO WD,RG,21,BLK,479,STOLEN,-79.35580206403807,43.65652829563198,"{""coordinates"": [[-79.355802064, 43.656528296]], ""type"": ""MultiPoint""}"
22,GO-20141298201,THEFT UNDER,2013-12-27,2013,December,Friday,27,361,20,2014-01-08,2014,January,Wednesday,8,8,9,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,AMIGO,VESPA,EL,1,RED,3300,STOLEN,-79.40111063296169,43.64696528643929,"{""coordinates"": [[-79.401110633, 43.6469652860001]], ""type"": ""MultiPoint""}"
23,GO-20141318595,THEFT UNDER,2014-01-10,2014,January,Friday,10,10,9,2014-01-10,2014,January,Friday,10,10,17,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,URBAN EN122687,SC,0,BLK,800,STOLEN,-79.39654023556032,43.64943898854259,"{""coordinates"": [[-79.396540236, 43.649438989]], ""type"": ""MultiPoint""}"
24,GO-20141318032,THEFT UNDER,2014-01-10,2014,January,Friday,10,10,6,2014-01-10,2014,January,Friday,10,10,15,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUPERCYCLE,None,OT,24,GRY,400,STOLEN,-79.38091774327542,43.64155728062367,"{""coordinates"": [[-79.3809177429999, 43.6415572810001]], ""type"": ""MultiPoint""}"
25,GO-20141324363,THEFT UNDER,2014-01-11,2014,January,Saturday,11,11,7,2014-01-11,2014,January,Saturday,11,11,21,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NEXT,GIRL'S,OT,9,BLK,200,STOLEN,-79.42092533179489,43.670014216638336,"{""coordinates"": [[-79.420925332, 43.6700142170001]], ""type"": ""MultiPoint""}"
26,GO-20149000374,THEFT UNDER,2013-06-06,2013,June,Thursday,6,157,9,2014-01-11,2014,January,Saturday,11,11,10,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,UK,PARIS,RG,7,BLK,700,STOLEN,-79.38554914057649,43.64605318515681,"{""coordinates"": [[-79.385549141, 43.646053185]], ""type"": ""MultiPoint""}"
27,GO-20141324363,THEFT UNDER,2014-01-11,2014,January,Saturday,11,11,7,2014-01-11,2014,January,Saturday,11,11,21,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,SPRING,OT,5,BLU,200,STOLEN,-79.42092533179489,43.670014216638336,"{""coordinates"": [[-79.420925332, 43.6700142170001]], ""type"": ""MultiPoint""}"
28,GO-20149000401,THEFT UNDER,2014-01-08,2014,January,Wednesday,8,8,17,2014-01-13,2014,January,Monday,13,13,17,D32,"Apartment (Rooming House, Condo)",Apartment,CA,SLICE,RC,20,WHI,2399,STOLEN,-79.40390381446156,43.75593078848159,"{""coordinates"": [[-79.403903814, 43.755930788]], ""type"": ""MultiPoint""}"
29,GO-20141333599,THEFT UNDER,2014-01-13,2014,January,Monday,13,13,6,2014-01-13,2014,January,Monday,13,13,6,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,KHS,FLITE 300,RC,10,None,1100,STOLEN,-79.43422342192423,43.64630249403643,"{""coordinates"": [[-79.4342234219999, 43.646302494]], ""type"": ""MultiPoint""}"
30,GO-20141330378,THEFT UNDER,2014-01-11,2014,January,Saturday,11,11,23,2014-01-13,2014,January,Monday,13,13,17,D54,"Apartment (Rooming House, Condo)",Apartment,DEVINCI,MOUNTAIN,MT,18,BLURED,900,STOLEN,-79.35329350981405,43.688524591582684,"{""coordinates"": [[-79.35329351, 43.6885245920001]], ""type"": ""MultiPoint""}"
31,GO-20149000445,THEFT UNDER,2014-01-14,2014,January,Tuesday,14,14,10,2014-01-14,2014,January,Tuesday,14,14,16,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,UK,None,RG,10,ONG,2000,STOLEN,-79.38238554238823,43.65027638937998,"{""coordinates"": [[-79.382385542, 43.6502763890001]], ""type"": ""MultiPoint""}"
32,GO-20149000428,THEFT UNDER,2014-01-14,2014,January,Tuesday,14,14,8,2014-01-14,2014,January,Tuesday,14,14,17,D22,Schools During Supervised Activity,Educational,OT,None,RG,3,BLU,600,STOLEN,-79.51803209108142,43.59797229929393,"{""coordinates"": [[-79.518032091, 43.597972299]], ""type"": ""MultiPoint""}"
33,GO-20141351368,THEFT UNDER,2014-01-15,2014,January,Wednesday,15,15,21,2014-01-15,2014,January,Wednesday,15,15,23,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GIMELLY,None,EL,1,RED,750,STOLEN,-79.37237645269067,43.658165697269446,"{""coordinates"": [[-79.3723764529999, 43.6581656970001]], ""type"": ""MultiPoint""}"
34,GO-20149000495,THEFT UNDER,2014-01-12,2014,January,Sunday,12,12,10,2014-01-16,2014,January,Thursday,16,16,12,D14,"Apartment (Rooming House, Condo)",Apartment,SC,None,MT,21,DBL,300,STOLEN,-79.39564273478432,43.64002067912439,"{""coordinates"": [[-79.395642735, 43.640020679]], ""type"": ""MultiPoint""}"
35,GO-20141367591,B&E,2014-01-18,2014,January,Saturday,18,18,0,2014-01-18,2014,January,Saturday,18,18,14,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SUPERCYCLE,None,MT,15,BLUWHI,150,STOLEN,-79.30363716660149,43.730682145774686,"{""coordinates"": [[-79.303637167, 43.730682146]], ""type"": ""MultiPoint""}"
36,GO-20149000553,THEFT UNDER,2014-01-18,2014,January,Saturday,18,18,4,2014-01-18,2014,January,Saturday,18,18,16,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NO,None,RG,16,BLU,120,STOLEN,-79.43422342192423,43.64630249403643,"{""coordinates"": [[-79.4342234219999, 43.646302494]], ""type"": ""MultiPoint""}"
37,GO-20149000575,THEFT UNDER,2014-01-09,2014,January,Thursday,9,9,14,2014-01-19,2014,January,Sunday,19,19,14,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GT,AGGRESSOR,MT,21,BLK,350,STOLEN,-79.44853641852123,43.66243941884985,"{""coordinates"": [[-79.4485364189999, 43.6624394190001]], ""type"": ""MultiPoint""}"
38,GO-20141383464,MISCHIEF UNDER,2014-01-17,2014,January,Friday,17,17,20,2014-01-21,2014,January,Tuesday,21,21,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CCM,None,RG,5,BRNWHI,100,STOLEN,-79.3920588405605,43.65580619500105,"{""coordinates"": [[-79.3920588409999, 43.655806195]], ""type"": ""MultiPoint""}"
39,GO-20141383941,THEFT UNDER,2014-01-09,2014,January,Thursday,9,9,13,2014-01-21,2014,January,Tuesday,21,21,11,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,KONA,None,RG,21,GRN,2000,STOLEN,-79.40698283146293,43.65137819288401,"{""coordinates"": [[-79.406982831, 43.651378193]], ""type"": ""MultiPoint""}"
40,GO-20141386364,B&E,2013-12-25,2013,December,Wednesday,25,359,0,2014-01-22,2014,January,Wednesday,22,22,16,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SPECIALIZED,None,MT,21,RED,500,STOLEN,-79.42475821871184,43.68908389632168,"{""coordinates"": [[-79.424758219, 43.6890838960001]], ""type"": ""MultiPoint""}"
41,GO-20141391839,POSSESSION PROPERTY OBC UNDER,2014-01-22,2014,January,Wednesday,22,22,19,2014-01-22,2014,January,Wednesday,22,22,19,D43,Convenience Stores,Commercial,SPECIALIZED,S-WORKS TARMAC,RC,14,BLK,3000,UNKNOWN,-79.2189016837165,43.74317708571763,"{""coordinates"": [[-79.2189016839999, 43.7431770860001]], ""type"": ""MultiPoint""}"
42,GO-20141386364,B&E,2013-12-25,2013,December,Wednesday,25,359,0,2014-01-22,2014,January,Wednesday,22,22,16,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,RACER,RC,21,BLK,950,STOLEN,-79.42475821871184,43.68908389632168,"{""coordinates"": [[-79.424758219, 43.6890838960001]], ""type"": ""MultiPoint""}"
43,GO-20141404003,THEFT UNDER,2014-01-05,2014,January,Sunday,5,5,12,2014-01-24,2014,January,Friday,24,24,18,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,XINGYUE,TDR295,SC,1,BLK,1800,STOLEN,-79.37787905137138,43.66521290431659,"{""coordinates"": [[-79.377879051, 43.665212904]], ""type"": ""MultiPoint""}"
44,GO-20141414982,THEFT OVER,2014-01-25,2014,January,Saturday,25,25,18,2014-01-26,2014,January,Sunday,26,26,18,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,CERVELO,R2.5,RC,18,BLK,10000,STOLEN,-79.3621343568586,43.650185289288835,"{""coordinates"": [[-79.362134357, 43.650185289]], ""type"": ""MultiPoint""}"
45,GO-20149000818,THEFT UNDER,2014-01-27,2014,January,Monday,27,27,17,2014-01-28,2014,January,Tuesday,28,28,13,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,GT,None,RG,10,RED,1100,STOLEN,-79.37787905137138,43.66521290431659,"{""coordinates"": [[-79.377879051, 43.665212904]], ""type"": ""MultiPoint""}"
46,GO-20141427259,B&E,2014-01-28,2014,January,Tuesday,28,28,19,2014-01-28,2014,January,Tuesday,28,28,19,D12,"Apartment (Rooming House, Condo)",Apartment,OTHER,None,MT,10,BLK,,STOLEN,-79.49414740215576,43.67258463006478,"{""coordinates"": [[-79.494147402, 43.6725846300001]], ""type"": ""MultiPoint""}"
47,GO-20141427708,THEFT UNDER,2014-01-28,2014,January,Tuesday,28,28,21,2014-01-28,2014,January,Tuesday,28,28,21,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,THIN BLUE LINE,DUSTER,RC,18,BLU,1000,STOLEN,-79.39593895101844,43.70474261455879,"{""coordinates"": [[-79.3959389509999, 43.704742615]], ""type"": ""MultiPoint""}"
48,GO-20149000818,THEFT UNDER,2014-01-27,2014,January,Monday,27,27,17,2014-01-28,2014,January,Tuesday,28,28,13,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,TR,None,RG,10,WHI,1600,STOLEN,-79.37787905137138,43.66521290431659,"{""coordinates"": [[-79.377879051, 43.665212904]], ""type"": ""MultiPoint""}"
49,GO-20141432628,THEFT UNDER,2014-01-28,2014,January,Tuesday,28,28,15,2014-01-29,2014,January,Wednesday,29,29,21,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,CUSTOM,None,OT,0,BLU,,STOLEN,-79.36057030884324,43.703168882389775,"{""coordinates"": [[-79.360570309, 43.703168882]], ""type"": ""MultiPoint""}"
50,GO-20149000867,THEFT UNDER,2014-01-29,2014,January,Wednesday,29,29,8,2014-01-30,2014,January,Thursday,30,30,17,D12,"Construction Site (Warehouse, Trailer, Shed)",Commercial,NO,VFR 5,RG,10,BLK,1800,STOLEN,-79.47324111590952,43.672000843958095,"{""coordinates"": [[-79.4732411159999, 43.6720008440001]], ""type"": ""MultiPoint""}"
51,GO-20149000905,THEFT UNDER,2014-01-31,2014,January,Friday,31,31,11,2014-02-01,2014,February,Saturday,1,32,0,D13,Ttc Subway Station,Transit,OT,MONT STE-ANNE,MT,18,None,,STOLEN,-79.43787567805492,43.70831325882499,"{""coordinates"": [[-79.437875678, 43.7083132590001]], ""type"": ""MultiPoint""}"
52,GO-20149000963,PROPERTY - LOST,2014-02-02,2014,February,Sunday,2,33,1,2014-02-02,2014,February,Sunday,2,33,21,D54,"Apartment (Rooming House, Condo)",Apartment,GT,AVALANCHE,MT,8,GRY,200,UNKNOWN,-79.35086211079084,43.68796619243931,"{""coordinates"": [[-79.350862111, 43.687966192]], ""type"": ""MultiPoint""}"
53,GO-20141455227,THEFT UNDER,2014-02-01,2014,February,Saturday,1,32,15,2014-02-02,2014,February,Sunday,2,33,11,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,STINGER,EL,30,WHI,850,STOLEN,-79.36913295325593,43.653374392478064,"{""coordinates"": [[-79.369132953, 43.653374392]], ""type"": ""MultiPoint""}"
54,GO-20149000997,THEFT UNDER,2014-01-27,2014,January,Monday,27,27,9,2014-02-04,2014,February,Tuesday,4,35,9,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UK,VIENNA,RG,21,GRY,400,STOLEN,-79.45054431756381,43.66104401831188,"{""coordinates"": [[-79.450544318, 43.661044018]], ""type"": ""MultiPoint""}"
55,GO-20141466776,THEFT UNDER,2014-02-03,2014,February,Monday,3,34,19,2014-02-04,2014,February,Tuesday,4,35,9,D32,"Private Property Structure (Pool, Shed, Detached Garage)",Other,ROCKY MOUNTAIN,TRAILHEAD,MT,21,GRN,1400,STOLEN,-79.42872180943225,43.73213536318102,"{""coordinates"": [[-79.428721809, 43.732135363]], ""type"": ""MultiPoint""}"
56,GO-20141475534,THEFT UNDER,2014-02-04,2014,February,Tuesday,4,35,18,2014-02-05,2014,February,Wednesday,5,36,18,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RAVEN,RAVEN,EL,1,RED,400,STOLEN,-79.37787905137138,43.66521290431659,"{""coordinates"": [[-79.377879051, 43.665212904]], ""type"": ""MultiPoint""}"
57,GO-20141472644,THEFT UNDER,2014-02-04,2014,February,Tuesday,4,35,17,2014-02-05,2014,February,Wednesday,5,36,9,D14,"Apartment (Rooming House, Condo)",Apartment,OTHER,2000FS,SC,1,BLU,2000,STOLEN,-79.43660032113196,43.638731486278544,"{""coordinates"": [[-79.436600321, 43.638731486]], ""type"": ""MultiPoint""}"
58,GO-20141474673,THEFT UNDER,2014-01-31,2014,January,Friday,31,31,15,2014-02-05,2014,February,Wednesday,5,36,15,D12,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SWINN,COMFORT,MT,24,GRN,500,STOLEN,-79.50287449949943,43.67079933205802,"{""coordinates"": [[-79.502874499, 43.6707993320001]], ""type"": ""MultiPoint""}"
59,GO-20141488887,THEFT UNDER,2014-02-07,2014,February,Friday,7,38,17,2014-02-07,2014,February,Friday,7,38,21,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,None,EL,1,BLK,,STOLEN,-79.37344165169152,43.65729849640226,"{""coordinates"": [[-79.3734416519999, 43.6572984960001]], ""type"": ""MultiPoint""}"
60,GO-20141492599,THEFT OVER,2014-01-25,2014,January,Saturday,25,25,8,2014-02-08,2014,February,Saturday,8,39,16,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SCAPIN,FAZER,RC,18,None,9423,STOLEN,-79.3870670479449,43.66854170792509,"{""coordinates"": [[-79.387067048, 43.6685417080001]], ""type"": ""MultiPoint""}"
61,GO-20141499515,THEFT UNDER,2014-02-07,2014,February,Friday,7,38,20,2014-02-09,2014,February,Sunday,9,40,18,D54,"Construction Site (Warehouse, Trailer, Shed)",Commercial,SCOTT,SCALE 35,MT,21,None,2500,STOLEN,-79.35721309577056,43.68293056677421,"{""coordinates"": [[-79.357213096, 43.682930567]], ""type"": ""MultiPoint""}"
62,GO-20141499515,THEFT UNDER,2014-02-07,2014,February,Friday,7,38,20,2014-02-09,2014,February,Sunday,9,40,18,D54,"Construction Site (Warehouse, Trailer, Shed)",Commercial,OTHER,WILIER,RC,18,WHI,4000,STOLEN,-79.35721309577056,43.68293056677421,"{""coordinates"": [[-79.357213096, 43.682930567]], ""type"": ""MultiPoint""}"
63,GO-20141508981,THEFT UNDER,2014-02-11,2014,February,Tuesday,11,42,10,2014-02-11,2014,February,Tuesday,11,42,10,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SPECIALIZED,CRUX ELITE RIOA,RC,22,RED,3300,STOLEN,-79.35909160795872,43.71287216757147,"{""coordinates"": [[-79.359091608, 43.712872168]], ""type"": ""MultiPoint""}"
64,GO-20149001208,THEFT UNDER,2014-01-01,2014,January,Wednesday,1,1,18,2014-02-11,2014,February,Tuesday,11,42,18,D52,"Apartment (Rooming House, Condo)",Apartment,OT,UNKNOWN,EL,32,YEL,1750,STOLEN,-79.38636524581295,43.66247760158134,"{""coordinates"": [[-79.386365246, 43.6624776020001]], ""type"": ""MultiPoint""}"
65,GO-20149001221,THEFT UNDER,2014-02-12,2014,February,Wednesday,12,43,9,2014-02-12,2014,February,Wednesday,12,43,17,D13,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,DART LITHIUM,EL,1,BLK,1700,STOLEN,-79.43552802239807,43.67868881383439,"{""coordinates"": [[-79.435528022, 43.6786888140001]], ""type"": ""MultiPoint""}"
66,GO-20141537073,THEFT UNDER,2014-02-15,2014,February,Saturday,15,46,18,2014-02-15,2014,February,Saturday,15,46,19,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KHS,URBAN EXPRESS,OT,21,BLKGRY,200,STOLEN,-79.40398193200464,43.6471940876252,"{""coordinates"": [[-79.403981932, 43.647194088]], ""type"": ""MultiPoint""}"
67,GO-20141542732,B&E,2014-02-16,2014,February,Sunday,16,47,19,2014-02-16,2014,February,Sunday,16,47,19,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RALEIGH,NONE,RC,10,BLK,500,STOLEN,-79.36561526033067,43.66652980563347,"{""coordinates"": [[-79.36561526, 43.666529806]], ""type"": ""MultiPoint""}"
68,GO-20141546511,THEFT UNDER,2014-01-17,2014,January,Friday,17,17,6,2014-02-17,2014,February,Monday,17,48,13,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,1700,SC,10,None,,STOLEN,-79.32028232710712,43.67532969893694,"{""coordinates"": [[-79.320282327, 43.675329699]], ""type"": ""MultiPoint""}"
69,GO-20149001341,THEFT UNDER,2014-02-14,2014,February,Friday,14,45,12,2014-02-17,2014,February,Monday,17,48,12,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RA,INTERNATIONAL,MT,18,BLK,100,STOLEN,-79.40998283558373,43.665390409707875,"{""coordinates"": [[-79.409982836, 43.66539041]], ""type"": ""MultiPoint""}"
70,GO-20141545496,THEFT UNDER,2014-01-15,2014,January,Wednesday,15,15,0,2014-02-17,2014,February,Monday,17,48,10,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MARIN OR MARINO,NOVATO,MT,27,SILBLK,700,STOLEN,-79.3341607902156,43.6594371291279,"{""coordinates"": [[-79.3341607899999, 43.659437129]], ""type"": ""MultiPoint""}"
71,GO-20141545179,THEFT UNDER,2014-02-16,2014,February,Sunday,16,47,20,2014-02-17,2014,February,Monday,17,48,9,D12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,None,EL,30,BLK,1500,STOLEN,-79.5239828465961,43.70382995719423,"{""coordinates"": [[-79.523982847, 43.703829957]], ""type"": ""MultiPoint""}"
72,GO-20149001330,THEFT UNDER,2014-02-16,2014,February,Sunday,16,47,14,2014-02-17,2014,February,Monday,17,48,5,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,DB,None,RG,21,DGR,150,STOLEN,-79.38377904686179,43.66303790214166,"{""coordinates"": [[-79.383779047, 43.663037902]], ""type"": ""MultiPoint""}"
